   JENDL-4.0  Rb- 87                                                 0 0  0    0
 3.708700+4 8.616259+1          1          0          6          13731 1451    1
 0.000000+0 0.000000+0          0          0          0          63731 1451    2
 1.000000+0 2.000000+7          0          0         10          43731 1451    3
 0.000000+0 0.000000+0          0          0        319         703731 1451    4
 37-Rb- 87 JAEA       EVAL-AUG09 K.Shibata, A.Ichihara, S.Kunieda 3731 1451    5
                      DIST-MAY10                       20091118   3731 1451    6
----JENDL-4.0         MATERIAL 3731                               3731 1451    7
-----INCIDENT NEUTRON DATA                                        3731 1451    8
------ENDF-6 FORMAT                                               3731 1451    9
                                                                  3731 1451   10
History                                                           3731 1451   11
09-08 Evaluated by K. Shibata, A. Ichihara and S. Kunieda.        3731 1451   12
09-10 Compiled by K. Shibata.                                     3731 1451   13
                                                                  3731 1451   14
MF= 1 General information                                         3731 1451   15
  MT=451 Descriptive data and directory                           3731 1451   16
                                                                  3731 1451   17
MF= 2  Resonance parameters                                       3731 1451   18
  MT=151 Resolved and unresolved resonance parameters             3731 1451   19
    Resolved resonance region (MLBW formula) : below 12.46 keV    3731 1451   20
      Resonance parameters of JENDL-2 were modified as follows :  3731 1451   21
      Evaluation of JENDL-2 was performed on the basis of the data3731 1451   22
      measured by Ohkubo et al./1/  Among 30 levels measured in   3731 1451   23
      the energy region up to 49 keV, 28 levels were assumed to be3731 1451   24
      s-wave, and remaining 2 levels at 267.1 and 376.9 eV to be  3731 1451   25
      p-wave.  Neutron widths were determined from the 2g*(neutron3731 1451   26
      width) measured by Ohkubo et al.  However, the value of     3731 1451   27
      total spin J for each resonance level was unknown except    3731 1451   28
      only 6 levels assigned by Ohkubo et al.  The target spin of 3731 1451   29
      1.5 was adopted for these unknown levels instead of J.      3731 1451   30
      Radiation width was obtained to be 166+-8 meV for only one  3731 1451   31
      resonance level at 376.9 eV from the measurement by Ohkubo  3731 1451   32
      et al. Average radiation width was also estimated to be     3731 1451   33
      166+-30 meV by Ohkubo et al., and was adopted for the other 3731 1451   34
      levels.                                                     3731 1451   35
                                                                  3731 1451   36
      For JENDL-3, the total spin J of 24 resonance levels was    3731 1451   37
      tentatively estimated with a random number method.  Neutron 3731 1451   38
      widths of these levels were modified on the basis of the    3731 1451   39
      estimated J-values.  Radiation width of the 2nd level at    3731 1451   40
      376.9 eV and average radiation width were also modified to  3731 1451   41
      115.33 and 115.0 meV, respectively, so as to reproduce the  3731 1451   42
      thermal capture cross section of 120+-30 mb given           3731 1451   43
      by Mughabghab et al./2/  Scattering radius was taken from   3731 1451   44
      the graph (Fig. 1, part A) given by Mughabghab et al.       3731 1451   45
                                                                  3731 1451   46
      No modification was performed for JENDL-4.0.                3731 1451   47
                                                                  3731 1451   48
    Unresolved resonance region: 12.46 keV - 1 MeV                3731 1451   49
      The parameters were obtained by fitting to the total and    3731 1451   50
      capture cross sections calculated from POD /3/.  The        3731 1451   51
      unresolved parameters should be used only for self-shielding3731 1451   52
      calculation.                                                3731 1451   53
                                                                  3731 1451   54
    Thermal cross sections and resonance integrals at 300 K       3731 1451   55
    ----------------------------------------------------------    3731 1451   56
                     0.0253 eV           res. integ. (*)          3731 1451   57
                      (barns)              (barns)                3731 1451   58
    ----------------------------------------------------------    3731 1451   59
     Total           4.5049E+00                                   3731 1451   60
     Elastic         4.3849E+00                                   3731 1451   61
     n,gamma         1.2004E-01           2.7200E+00              3731 1451   62
    ----------------------------------------------------------    3731 1451   63
       (*) Integrated from 0.5 eV to 10 MeV.                      3731 1451   64
                                                                  3731 1451   65
MF= 3 Neutron cross sections                                      3731 1451   66
  MT=  1 Total cross section                                      3731 1451   67
    Calculated with POD code /3/.                                 3731 1451   68
                                                                  3731 1451   69
  MT=  2 Elastic scattering cross section                         3731 1451   70
    Obtained by subtracting non-elastic cross sections from total 3731 1451   71
    cross sections.                                               3731 1451   72
                                                                  3731 1451   73
  MT=  3 Non-elastic cross section                                3731 1451   74
    Sum of partial non-elastic cross sections.                    3731 1451   75
                                                                  3731 1451   76
  MT=  4,51-91 (n,n') cross section                               3731 1451   77
    Calculated with POD code /3/.                                 3731 1451   78
                                                                  3731 1451   79
  MT= 16 (n,2n) cross section                                     3731 1451   80
    Calculated with POD code /3/.                                 3731 1451   81
                                                                  3731 1451   82
  MT= 17 (n,3n) cross section                                     3731 1451   83
    Calculated with POD code /3/.                                 3731 1451   84
                                                                  3731 1451   85
  MT= 22 (n,na) cross section                                     3731 1451   86
    Calculated with POD code /3/.                                 3731 1451   87
                                                                  3731 1451   88
  MT= 28 (n,np) cross section                                     3731 1451   89
    Calculated with POD code /3/.                                 3731 1451   90
                                                                  3731 1451   91
  MT= 32 (n,nd) cross section                                     3731 1451   92
    Calculated with POD code /3/.                                 3731 1451   93
                                                                  3731 1451   94
  MT=102 Capture cross section                                    3731 1451   95
    Calculated with POD code /3/.                                 3731 1451   96
                                                                  3731 1451   97
  MT=103 (n,p) cross section                                      3731 1451   98
    Calculated with POD code /3/.                                 3731 1451   99
                                                                  3731 1451  100
  MT=104 (n,d) cross section                                      3731 1451  101
    Calculated with POD code /3/.                                 3731 1451  102
                                                                  3731 1451  103
  MT=105 (n,t) cross section                                      3731 1451  104
    Calculated with POD code /3/.                                 3731 1451  105
                                                                  3731 1451  106
  MT=106 (n,He3) cross section                                    3731 1451  107
    Calculated with POD code /3/.                                 3731 1451  108
                                                                  3731 1451  109
  MT=107 (n,a) cross section                                      3731 1451  110
    Calculated with POD code /3/.                                 3731 1451  111
                                                                  3731 1451  112
  MT=203 (n,xp) cross section                                     3731 1451  113
    Calculated with POD code /3/.                                 3731 1451  114
                                                                  3731 1451  115
  MT=204 (n,xd) cross section                                     3731 1451  116
    Calculated with POD code /3/.                                 3731 1451  117
                                                                  3731 1451  118
  MT=205 (n,xt) cross section                                     3731 1451  119
    Calculated with POD code /3/.                                 3731 1451  120
                                                                  3731 1451  121
  MT=206 (n,xHe3) cross section                                   3731 1451  122
    Calculated with POD code /3/.                                 3731 1451  123
                                                                  3731 1451  124
  MT=207 (n,xa) cross section                                     3731 1451  125
    Calculated with POD code /3/.                                 3731 1451  126
                                                                  3731 1451  127
MF= 4 Angular distributions of emitted neutrons                   3731 1451  128
  MT=  2 Elastic scattering                                       3731 1451  129
    Calculated with POD code /3/.                                 3731 1451  130
                                                                  3731 1451  131
MF= 6 Energy-angle distributions of emitted particles             3731 1451  132
  MT= 16 (n,2n) reaction                                          3731 1451  133
    Neutron spectra calculated with POD/3/.                       3731 1451  134
                                                                  3731 1451  135
  MT= 17 (n,3n) reaction                                          3731 1451  136
    Neutron spectra calculated with POD/3/.                       3731 1451  137
                                                                  3731 1451  138
  MT= 22 (n,na) reaction                                          3731 1451  139
    Neutron spectra calculated with POD/3/.                       3731 1451  140
                                                                  3731 1451  141
  MT= 28 (n,np) reaction                                          3731 1451  142
    Neutron spectra calculated with POD/3/.                       3731 1451  143
                                                                  3731 1451  144
  MT= 32 (n,nd) reaction                                          3731 1451  145
    Neutron spectra calculated with POD/3/.                       3731 1451  146
                                                                  3731 1451  147
  MT= 51 (n,n') reaction                                          3731 1451  148
    Neutron angular distributions calculated with POD/3/.         3731 1451  149
                                                                  3731 1451  150
  MT= 52 (n,n') reaction                                          3731 1451  151
    Neutron angular distributions calculated with POD/3/.         3731 1451  152
                                                                  3731 1451  153
  MT= 53 (n,n') reaction                                          3731 1451  154
    Neutron angular distributions calculated with POD/3/.         3731 1451  155
                                                                  3731 1451  156
  MT= 54 (n,n') reaction                                          3731 1451  157
    Neutron angular distributions calculated with POD/3/.         3731 1451  158
                                                                  3731 1451  159
  MT= 55 (n,n') reaction                                          3731 1451  160
    Neutron angular distributions calculated with POD/3/.         3731 1451  161
                                                                  3731 1451  162
  MT= 56 (n,n') reaction                                          3731 1451  163
    Neutron angular distributions calculated with POD/3/.         3731 1451  164
                                                                  3731 1451  165
  MT= 57 (n,n') reaction                                          3731 1451  166
    Neutron angular distributions calculated with POD/3/.         3731 1451  167
                                                                  3731 1451  168
  MT= 58 (n,n') reaction                                          3731 1451  169
    Neutron angular distributions calculated with POD/3/.         3731 1451  170
                                                                  3731 1451  171
  MT= 59 (n,n') reaction                                          3731 1451  172
    Neutron angular distributions calculated with POD/3/.         3731 1451  173
                                                                  3731 1451  174
  MT= 60 (n,n') reaction                                          3731 1451  175
    Neutron angular distributions calculated with POD/3/.         3731 1451  176
